"Pokemon","Move","Qualifier"
"Bulbasaur","Vine Whip",""
"Buneary","Pound",""
"Buneary","Quick Attack",""
"Butterfree","Confusion",""
"Butterfree","Struggle Bug",""
"Cacnea","Poison Sting",""
"Cacnea","Sucker Punch",""
"Cacturne","Poison Jab",""
"Cacturne","Sucker Punch",""
"Camerupt","Ember",""
"Camerupt","Rock Smash",""
"Carnivine","Bite",""
"Carnivine","Vine Whip",""
"Carracosta","Rock Throw",""
"Carracosta","Water Gun",""
"Carvanha","Bite",""
"Carvanha","Snarl",""
"Cascoon","Bug Bite",""
"Cascoon","Poison Sting",""
"Castform","Hex",""
"Castform","Tackle",""
"Caterpie","Bug Bite",""
"Caterpie","Tackle",""
"Celebi","Charge Beam",""
"Celebi","Confusion",""
"Chandelure","Fire Spin",""
"Chandelure","Hex",""
"Chansey","Pound",""
"Chansey","Zen Headbutt",""
"Charizard","Air Slash",""
"Charizard","Fire Spin",""
"Charmander","Ember",""
"Charmander","Scratch",""
"Charmeleon","Ember",""
"Charmeleon","Fire Fang",""
"Chatot","Peck",""
"Chatot","Steel Wing",""
"Cherubi","Bullet Seed",""
"Cherubi","Tackle",""
"Chikorita","Tackle",""
"Chikorita","Vine Whip",""
"Chimchar","Ember",""
"Chimchar","Scratch",""
"Chimecho","Astonish",""
"Chimecho","Extrasensory",""
"Chinchou","Bubble",""
"Chinchou","Spark",""
"Chingling","Astonish",""
"Chingling","Zen Headbutt",""
"Cinccino","Charm",""
"Cinccino","Pound",""
"Clamperl","Water Gun",""
"Claydol","Confusion",""
"Claydol","Extrasensory",""
"Claydol","Mud-Slap",""
"Clefable","Charge Beam",""
"Clefable","Charm",""
"Clefable","Zen Headbutt",""
"Clefairy","Pound",""
"Clefairy","Zen Headbutt",""
"Cleffa","Pound",""
"Cleffa","Zen Headbutt",""
"Cloyster","Frost Breath",""
"Cloyster","Ice Shard",""
"Cobalion","Metal Claw",""
"Cobalion","Zen Headbutt",""
"Cofagrigus","Astonish",""
"Cofagrigus","Zen Headbutt",""
"Combee","Bug Bite",""
"Combusken","Ember",""
"Combusken","Peck",""
"Conkeldurr","Counter",""
"Conkeldurr","Poison Jab",""
"Corphish","Bubble",""
"Corphish","Rock Smash",""
"Corsola","Bubble",""
"Corsola","Tackle",""
"Cottonee","Charm",""
"Cottonee","Razor Leaf",""
"Cradily","Acid",""
"Cradily","Bullet Seed",""
"Cradily","Infestation",""
"Cranidos","Take Down",""
"Cranidos","Zen Headbutt",""
"Crawdaunt","Snarl",""
"Crawdaunt","Waterfall",""
"Cresselia","Confusion",""
"Cresselia","Psycho Cut",""
"Croagunk","Poison Jab",""
"Croagunk","Poison Sting",""
"Crobat","Air Slash",""
"Crobat","Bite",""
"Croconaw","Scratch",""
"Croconaw","Water Gun",""
"Crustle","Fury Cutter",""
"Crustle","Smack Down",""
"Cryogonal","Frost Breath",""
"Cryogonal","Ice Shard",""
"Cubchoo","Charm",""
"Cubchoo","Powder Snow",""
"Cubone","Mud-Slap",""
"Cubone","Rock Smash",""
"Cyndaquil","Ember",""
"Cyndaquil","Tackle",""
"Darkrai","Feint Attack",""
"Darkrai","Snarl",""
"Darumaka","Fire Fang",""
"Darumaka","Tackle",""
"Defense Forme","Counter",""
"Defense Forme","Zen Headbutt",""
"Deino","Dragon Breath",""
"Deino","Tackle",""
"Delcatty","Charm",""
"Delcatty","Feint Attack",""
"Delcatty","Zen Headbutt",""
"Delibird","Present",""
"Dewgong","Frost Breath",""
"Dewgong","Iron Tail",""
"Dewott","Fury Cutter",""
"Dewott","Water Gun",""
"Dialga","Dragon Breath",""
"Dialga","Metal Claw",""
"Diglett","Mud-Slap",""
"Diglett","Scratch",""
"Ditto","Transform",""
"Dodrio","Feint Attack",""
"Dodrio","Steel Wing",""
"Doduo","Peck",""
"Doduo","Quick Attack",""
"Donphan","Charm",""
"Donphan","Counter",""
"Donphan","Mud-Slap",""
"Donphan","Tackle",""
"Dragonair","Dragon Breath",""
"Dragonair","Iron Tail",""
"Dragonite","Dragon Breath",""
"Dragonite","Dragon Tail",""
"Dragonite","Steel Wing",""
"Drapion","Bite",""
"Drapion","Ice Fang",""
"Drapion","Infestation",""
"Drapion","Poison Sting",""
"Dratini","Dragon Breath",""
"Dratini","Iron Tail",""
"Drifblim","Astonish",""
"Drifblim","Hex",""
"Drifloon","Astonish",""
"Drifloon","Hex",""
"Drilbur","Mud-Slap",""
"Drilbur","Scratch",""
"Drowzee","Confusion",""
"Drowzee","Pound",""
"Ducklett","Water Gun",""
"Ducklett","Wing Attack",""
"Dugtrio","Mud-Slap",""
"Dugtrio","Sucker Punch",""
"Dunsparce","Astonish",""
"Dunsparce","Bite",""
"Duosion","Hidden Power",""
"Duosion","Zen Headbutt",""
"Durant","Bug Bite",""
"Durant","Metal Claw",""
"Dusclops","Feint Attack",""
"Dusclops","Hex",""
"Dusknoir","Astonish",""
"Dusknoir","Hex",""
"Duskull","Astonish",""
"Duskull","Hex",""
"Dustox","Confusion",""
"Dustox","Struggle Bug",""
"Dwebble","Cut",""
"Dwebble","Smack Down",""
"East Sea","Hidden Power",""
"East Sea","Hidden Power",""
"East Sea","Mud-Slap",""
"East Sea","Mud-Slap",""
"Eevee","Quick Attack",""
"Eevee","Tackle",""
"Ekans","Acid",""
"Ekans","Poison Sting",""
"Electabuzz","Low Kick",""
"Electabuzz","Thunder Shock",""
"Electivire","Low Kick",""
"Electivire","Thunder Shock",""
"Electrike","Quick Attack",""
"Electrike","Spark",""
"Electrode","Spark",""
"Electrode","Volt Switch",""
"Elekid","Low Kick",""
"Elekid","Thunder Shock",""
"Elgyem","Astonish",""
"Elgyem","Confusion",""
"Emboar","Ember",""
"Emboar","Low Kick",""
"Emolga","Quick Attack",""
"Emolga","Thunder Shock",""
"Empoleon","Metal Claw",""
"Empoleon","Waterfall",""
"Entei","Fire Fang",""
"Entei","Fire Spin",""
"Escavalier","Bug Bite",""
"Escavalier","Counter",""
"Espeon","Confusion",""
"Espeon","Zen Headbutt",""
"Excadrill","Metal Claw",""
"Excadrill","Mud-Slap",""
"Exeggcute","Bullet Seed",""
"Exeggcute","Confusion",""
"Exeggutor","Bullet Seed",""
"Exeggutor","Confusion",""
"Exeggutor","Extrasensory",""
"Exploud","Astonish",""
"Exploud","Bite",""
"Farfetch'd","Air Slash",""
"Farfetch'd","Fury Cutter",""
"Fearow","Peck",""
"Fearow","Steel Wing",""
"Feebas","Splash",""
"Feebas","Tackle",""
"Feraligatr","Bite",""
"Feraligatr","Ice Fang",""
"Feraligatr","Waterfall",""
"Ferroseed","Metal Claw",""
"Ferroseed","Tackle",""
"Ferrothorn","Bullet Seed",""
"Ferrothorn","Metal Claw",""
"Finneon","Pound",""
"Finneon","Water Gun",""
"Flaaffy","Charge Beam",""
"Flaaffy","Tackle",""
"Flareon","Ember",""
"Flareon","Fire Spin",""
"Floatzel","Water Gun",""
"Floatzel","Waterfall",""
"Flygon","Dragon Tail",""
"Flygon","Mud Shot",""
"Foongus","Astonish",""
"Foongus","Feint Attack",""
"Forretress","Bug Bite",""
"Forretress","Struggle Bug",""
"Fraxure","Dragon Tail",""
"Fraxure","Iron Tail",""
"Froslass","Hex",""
"Froslass","Powder Snow",""
"Furret","Quick Attack",""
"Furret","Sucker Punch",""
"Gabite","Mud Shot",""
"Gabite","Take Down",""
"Galarian Darumaka","Ice Fang",""
"Galarian Darumaka","Tackle",""
"Galarian Farfetch'd","Fury Cutter",""
"Galarian Farfetch'd","Rock Smash",""
"Galarian Linoone","Lick",""
"Galarian Linoone","Snarl",""
"Galarian Meowth","Metal Claw",""
"Galarian Meowth","Scratch",""
"Galarian Standard Mode","Ice Fang",""
"Galarian Standard Mode","Tackle",""
"Galarian Stunfisk","Metal Claw",""
"Galarian Stunfisk","Mud Shot",""
"Galarian Weezing","Tackle",""
"Galarian Zigzagoon","Tackle",""
"Galarian Zigzagoon","Take Down",""
"Gallade","Charm",""
"Gallade","Confusion",""
"Gallade","Low Kick",""
"Galvantula","Fury Cutter",""
"Galvantula","Volt Switch",""
"Garbodor","Infestation",""
"Garbodor","Take Down",""
"Garchomp","Dragon Tail",""
"Garchomp","Mud Shot",""
"Gardevoir","Charge Beam",""
"Gardevoir","Charm",""
"Gardevoir","Confusion",""
"Gastly","Astonish",""
"Gastly","Lick",""
"Genesect","Fury Cutter",""
"Genesect","Metal Claw",""
"Gengar","Hex",""
"Gengar","Shadow Claw",""
"Gengar","Sucker Punch",""
"Geodude","Rock Throw",""
"Geodude","Tackle",""
"Gible","Mud Shot",""
"Gible","Take Down",""
"Gigalith","Mud-Slap",""
"Gigalith","Smack Down",""
"Girafarig","Confusion",""
"Girafarig","Tackle",""
"Glaceon","Frost Breath",""
"Glaceon","Ice Shard",""
"Glalie","Frost Breath",""
"Glalie","Ice Shard",""
"Glameow","Quick Attack",""
"Glameow","Scratch",""
"Gligar","Fury Cutter",""
"Gligar","Wing Attack",""
"Gliscor","Fury Cutter",""
"Gliscor","Wing Attack",""
"Gloom","Acid",""
"Gloom","Razor Leaf",""
"Golbat","Bite",""
"Golbat","Wing Attack",""
"Goldeen","Mud Shot",""
"Goldeen","Peck",""
"Golduck","Confusion",""
"Golduck","Water Gun",""
"Golem","Mud-Slap",""
"Golem","Rock Throw",""
"Golett","Astonish",""
"Golett","Mud-Slap",""
"Golurk","Astonish",""
"Golurk","Mud-Slap",""
"Gorebyss","Confusion",""
"Gorebyss","Water Gun",""
"Gothita","Confusion",""
"Gothita","Pound",""
"Gothitelle","Charm",""
"Gothitelle","Confusion",""
"Gothorita","Confusion",""
"Gothorita","Pound",""
"Granbull","Bite",""
"Granbull","Charm",""
"Granbull","Snarl",""
"Graveler","Mud-Slap",""
"Graveler","Rock Throw",""
"Grimer","Mud-Slap",""
"Grimer","Poison Jab",""
"Grotle","Bite",""
"Grotle","Razor Leaf",""
"Groudon","Dragon Tail",""
"Groudon","Mud Shot",""
"Grovyle","Bullet Seed",""
"Grovyle","Quick Attack",""
"Growlithe","Bite",""
"Growlithe","Ember",""
"Grumpig","Charge Beam",""
"Grumpig","Extrasensory",""
"Gulpin","Pound",""
"Gulpin","Rock Smash",""
"Gurdurr","Low Kick",""
"Gurdurr","Poison Jab",""
"Gyarados","Bite",""
"Gyarados","Dragon Breath",""
"Gyarados","Waterfall",""
"Happiny","Pound",""
"Happiny","Zen Headbutt",""
"Hariyama","Bullet Punch",""
"Hariyama","Counter",""
"Haunter","Astonish",""
"Haunter","Shadow Claw",""
"Haxorus","Counter",""
"Haxorus","Dragon Tail",""
"Heatmor","Fire Spin",""
"Heatmor","Lick",""
"Heatran","Bug Bite",""
"Heatran","Fire Spin",""
"Heracross","Counter",""
"Heracross","Struggle Bug",""
"Herdier","Lick",""
"Herdier","Take Down",""
"Hippopotas","Bite",""
"Hippopotas","Tackle",""
"Hippowdon","Bite",""
"Hippowdon","Fire Fang",""
"Hippowdon","Ice Fang",""
"Hippowdon","Thunder Fang",""
"Hitmonchan","Bullet Punch",""
"Hitmonchan","Counter",""
"Hitmonlee","Low Kick",""
"Hitmonlee","Rock Smash",""
"Hitmontop","Counter",""
"Hitmontop","Rock Smash",""
"Honchkrow","Peck",""
"Honchkrow","Snarl",""
"Ho-oh","Extrasensory",""
"Ho-oh","Hidden Power",""
"Ho-oh","Steel Wing",""
"Hoothoot","Feint Attack",""
"Hoothoot","Peck",""
"Hoppip","Bullet Seed",""
"Hoppip","Tackle",""
"Horsea","Bubble",""
"Horsea","Water Gun",""
"Houndoom","Fire Fang",""
"Houndoom","Snarl",""
"Houndour","Ember",""
"Houndour","Feint Attack",""
"Huntail","Bite",""
"Huntail","Water Gun",""
"Hydreigon","Bite",""
"Hydreigon","Dragon Breath",""
"Hypno","Confusion",""
"Hypno","Zen Headbutt",""
"Igglybuff","Feint Attack",""
"Igglybuff","Pound",""
"Illumise","Struggle Bug",""
"Illumise","Tackle",""
"Incarnate Forme","Air Slash",""
"Incarnate Forme","Astonish",""
"Incarnate Forme","Bite",""
"Incarnate Forme","Mud Shot",""
"Incarnate Forme","Rock Throw",""
"Incarnate Forme","Thunder Shock",""
"Infernape","Fire Spin",""
"Infernape","Rock Smash",""
"Ivysaur","Razor Leaf",""
"Ivysaur","Vine Whip",""
"Jigglypuff","Feint Attack",""
"Jigglypuff","Pound",""
"Jirachi","Charge Beam",""
"Jirachi","Confusion",""
"Jolteon","Thunder Shock",""
"Jolteon","Volt Switch",""
"Joltik","Charge Beam",""
"Joltik","Sucker Punch",""
"Jumpluff","Bullet Seed",""
"Jumpluff","Infestation",""
"Jynx","Confusion",""
"Jynx","Frost Breath",""
"Kabuto","Mud Shot",""
"Kabuto","Scratch",""
"Kabutops","Mud Shot",""
"Kabutops","Rock Smash",""
"Kabutops","Waterfall",""
"Kadabra","Confusion",""
"Kadabra","Psycho Cut",""
"Kakuna","Bug Bite",""
"Kakuna","Poison Sting",""
"Kangaskhan","Low Kick",""
"Kangaskhan","Mud-Slap",""
"Karrablast","Fury Cutter",""
"Karrablast","Peck",""
"Kingdra","Dragon Breath",""
"Kingdra","Waterfall",""
"Kingler","Bubble",""
"Kingler","Metal Claw",""
"Kirlia","Charge Beam",""
"Kirlia","Confusion",""
"Klang","Charge Beam",""
"Klang","Thunder Shock",""
"Klink","Charge Beam",""
"Klink","Volt Switch",""
"Klinklang","Charge Beam",""
"Klinklang","Thunder Shock",""
"Koffing","Infestation",""
"Koffing","Tackle",""
"Krabby","Bubble",""
"Krabby","Mud Shot",""
"Kricketot","Bug Bite",""
"Kricketot","Struggle Bug",""
"Kricketune","Fury Cutter",""
"Kricketune","Struggle Bug",""
"Kyogre","Waterfall",""
"Kyurem","Dragon Breath",""
"Kyurem","Steel Wing",""
"Lairon","Iron Tail",""
"Lairon","Metal Claw",""
"Lampent","Astonish",""
"Lampent","Ember",""
"Lanturn","Charge Beam",""
"Lanturn","Spark",""
"Lanturn","Water Gun",""
"Lapras","Frost Breath",""
"Lapras","Water Gun",""
"Larvitar","Bite",""
"Larvitar","Rock Smash",""
"Latias","Charm",""
"Latias","Dragon Breath",""
"Latias","Zen Headbutt",""
"Latios","Dragon Breath",""
"Latios","Zen Headbutt",""
"Leafeon","Quick Attack",""
"Leafeon","Razor Leaf",""
"Leavanny","Bug Bite",""
"Leavanny","Razor Leaf",""
"Ledian","Bug Bite",""
"Ledian","Struggle Bug",""
"Ledyba","Bug Bite",""
"Ledyba","Tackle",""
"Lickilicky","Lick",""
"Lickilicky","Zen Headbutt",""
"Lickitung","Lick",""
"Lickitung","Zen Headbutt",""
"Liepard","Charm",""
"Liepard","Snarl",""
"Lileep","Acid",""
"Lileep","Infestation",""
"Lilligant","Charm",""
"Lilligant","Hidden Power",""
"Lillipup","Tackle",""
"Lillipup","Take Down",""
"Linoone","Shadow Claw",""
"Linoone","Tackle",""
"Litwick","Astonish",""
"Litwick","Ember",""
"Lombre","Bubble",""
"Lombre","Razor Leaf",""
"Lopunny","Low Kick",""
"Lopunny","Pound",""
"Lotad","Razor Leaf",""
"Lotad","Water Gun",""
"Loudred","Bite",""
"Loudred","Rock Smash",""
"Lucario","Bullet Punch",""
"Lucario","Counter",""
"Ludicolo","Bubble",""
"Ludicolo","Razor Leaf",""
"Lugia","Dragon Tail",""
"Lugia","Extrasensory",""
"Lumineon","Water Gun",""
"Lumineon","Waterfall",""
"Lunatone","Confusion",""
"Lunatone","Rock Throw",""
"Luvdisc","Splash",""
"Luvdisc","Water Gun",""
"Luxio","Bite",""
"Luxio","Spark",""
"Luxray","Hidden Power",""
"Luxray","Snarl",""
"Luxray","Spark",""
"Machamp","Bullet Punch",""
"Machamp","Counter",""
"Machoke","Karate Chop",""
"Machoke","Low Kick",""
"Machop","Karate Chop",""
"Machop","Rock Smash",""
"Magby","Ember",""
"Magby","Karate Chop",""
"Magcargo","Ember",""
"Magcargo","Rock Throw",""
"Magikarp","Splash",""
"Magmar","Ember",""
"Magmar","Karate Chop",""
"Magmortar","Fire Spin",""
"Magmortar","Karate Chop",""
"Magnemite","Spark",""
"Magnemite","Thunder Shock",""
"Magneton","Charge Beam",""
"Magneton","Spark",""
"Magneton","Thunder Shock",""
"Magnezone","Charge Beam",""
"Magnezone","Spark",""
"Makuhita","Rock Smash",""
"Makuhita","Tackle",""
"Mamoswine","Mud-Slap",""
"Mamoswine","Powder Snow",""
"Manectric","Charge Beam",""
"Manectric","Snarl",""
"Mankey","Karate Chop",""
"Mankey","Scratch",""
"Mantine","Bubble",""
"Mantine","Bullet Seed",""
"Mantine","Wing Attack",""
"Mantyke","Bubble",""
"Mantyke","Tackle",""
"Maractus","Bullet Seed",""
"Maractus","Poison Jab",""
"Mareep","Tackle",""
"Mareep","Thunder Shock",""
"Marill","Bubble",""
"Marill","Tackle",""
"Marowak","Mud-Slap",""
"Marowak","Rock Smash",""
"Marshtomp","Mud Shot",""
"Marshtomp","Water Gun",""
"Masquerain","Air Slash",""
"Masquerain","Infestation",""
"Mawile","Astonish",""
"Mawile","Bite",""
"Mawile","Fire Fang",""
"Mawile","Ice Fang",""
"Medicham","Counter",""
"Medicham","Psycho Cut",""
"Meditite","Confusion",""
"Meditite","Rock Smash",""
"Meganium","Razor Leaf",""
"Meganium","Vine Whip",""
"Melmetal","Thunder Shock",""
"Meltan","Thunder Shock",""
"Meowth","Bite",""
"Meowth","Scratch",""
"Mesprit","Confusion",""
"Mesprit","Extrasensory",""
"Metagross","Bullet Punch",""
"Metagross","Zen Headbutt",""
"Metang","Metal Claw",""
"Metang","Zen Headbutt",""
"Metapod","Bug Bite",""
"Metapod","Tackle",""
"Mew","Charge Beam",""
"Mew","Cut",""
"Mew","Dragon Tail",""
"Mew","Frost Breath",""
"Mew","Infestation",""
"Mew","Poison Jab",""
"Mew","Pound",""
"Mew","Rock Smash",""
"Mew","Shadow Claw",""
"Mew","Snarl",""
"Mew","Steel Wing",""
"Mew","Struggle Bug",""
"Mew","Volt Switch",""
"Mew","Waterfall",""
"Mewtwo","Confusion",""
"Mewtwo","Psycho Cut",""
"Mightyena","Bite",""
"Mightyena","Fire Fang",""
"Mightyena","Ice Fang",""
"Mightyena","Thunder Fang",""
"Milotic","Dragon Tail",""
"Milotic","Waterfall",""
"Miltank","Tackle",""
"Miltank","Zen Headbutt",""
"Mime Jr.","Confusion",""
"Mime Jr.","Pound",""
"Minccino","Charm",""
"Minccino","Pound",""
"Minun","Quick Attack",""
"Minun","Spark",""
"Misdreavus","Astonish",""
"Misdreavus","Hex",""
"Mismagius","Hex",""
"Mismagius","Sucker Punch",""
"Moltres","Fire Spin",""
"Moltres","Wing Attack",""
"Monferno","Ember",""
"Monferno","Rock Smash",""
"Mothim","Air Slash",""
"Mothim","Bug Bite",""
"Mr. Mime","Confusion",""
"Mr. Mime","Zen Headbutt",""
"Mudkip","Tackle",""
"Mudkip","Water Gun",""
"Muk","Infestation",""
"Muk","Poison Jab",""
"Munchlax","Lick",""
"Munchlax","Tackle",""
"Murkrow","Feint Attack",""
"Murkrow","Peck",""
"Natu","Peck",""
"Natu","Quick Attack",""
"Nidoking","Iron Tail",""
"Nidoking","Poison Jab",""
"Nidoqueen","Bite",""
"Nidoqueen","Poison Jab",""
"Nidoran???","Peck",""
"Nidoran???","Poison Sting",""
"Nidoran???","Bite",""
"Nidoran???","Poison Sting",""
"Nidorina","Bite",""
"Nidorina","Poison Sting",""
"Nidorino","Poison Jab",""
"Nidorino","Poison Sting",""
"Nincada","Bug Bite",""
"Nincada","Scratch",""
"Ninetales","Feint Attack",""
"Ninetales","Fire Spin",""
"Ninjask","Fury Cutter",""
"Ninjask","Metal Claw",""
"Noctowl","Extrasensory",""
"Noctowl","Wing Attack",""
"Normal Forme","Charge Beam",""
"Normal Forme","Zen Headbutt",""
"Nosepass","Rock Throw",""
"Nosepass","Spark",""
"Numel","Ember",""
"Numel","Tackle",""
"Nuzleaf","Feint Attack",""
"Nuzleaf","Razor Leaf",""
"Obstagoon","Counter",""
"Obstagoon","Lick",""
"Octillery","Mud Shot",""
"Octillery","Water Gun",""
"Oddish","Acid",""
"Oddish","Razor Leaf",""
"Omanyte","Mud Shot",""
"Omanyte","Water Gun",""
"Omastar","Mud Shot",""
"Omastar","Water Gun",""
"Onix","Rock Throw",""
"Onix","Tackle",""
"Origin Forme","Dragon Tail",""
"Origin Forme","Shadow Claw",""
"Oshawott","Tackle",""
"Oshawott","Water Gun",""
"Overcast Form","Bullet Seed",""
"Overcast Form","Razor Leaf",""
"Pachirisu","Spark",""
"Pachirisu","Volt Switch",""
"Palkia","Dragon Breath",""
"Palkia","Dragon Tail",""
"Palpitoad","Bubble",""
"Palpitoad","Mud Shot",""
"Panpour","Scratch",""
"Panpour","Water Gun",""
"Pansage","Scratch",""
"Pansage","Vine Whip",""
"Pansear","Fire Spin",""
"Pansear","Scratch",""
"Paras","Bug Bite",""
"Paras","Scratch",""
"Parasect","Fury Cutter",""
"Parasect","Struggle Bug",""
"Patrat","Bite",""
"Patrat","Tackle",""
"Pelipper","Water Gun",""
"Pelipper","Wing Attack",""
"Perrserker","Metal Claw",""
"Perrserker","Shadow Claw",""
"Persian","Feint Attack",""
"Persian","Scratch",""
"Petilil","Charm",""
"Petilil","Hidden Power",""
"Phanpy","Rock Smash",""
"Phanpy","Tackle",""
"Pichu","Thunder Shock",""
"Pidgeot","Air Slash",""
"Pidgeot","Steel Wing",""
"Pidgeotto","Steel Wing",""
"Pidgeotto","Wing Attack",""
"Pidgey","Quick Attack",""
"Pidgey","Tackle",""
"Pidove","Air Slash",""
"Pidove","Quick Attack",""
"Pignite","Ember",""
"Pignite","Tackle",""
"Pikachu","Quick Attack",""
"Pikachu","Thunder Shock",""
"Pikachu Libre","Charm",""
"Pikachu Libre","Thunder Shock",""
"Piloswine","Ice Shard",""
"Piloswine","Powder Snow",""
"Pineco","Bug Bite",""
"Pineco","Tackle",""
"Pinsir","Bug Bite",""
"Pinsir","Fury Cutter",""
"Pinsir","Rock Smash",""
"Piplup","Bubble",""
"Piplup","Pound",""
"Plant Cloak","Bug Bite",""
"Plant Cloak","Bug Bite",""
"Plant Cloak","Confusion",""
"Plant Cloak","Tackle",""
"Plusle","Quick Attack",""
"Plusle","Spark",""
"Politoed","Bubble",""
"Politoed","Mud Shot",""
"Poliwag","Bubble",""
"Poliwag","Mud Shot",""
"Poliwhirl","Bubble",""
"Poliwhirl","Mud Shot",""
"Poliwrath","Bubble",""
"Poliwrath","Mud Shot",""
"Poliwrath","Rock Smash",""
"Ponyta","Ember",""
"Ponyta","Tackle",""
"Poochyena","Snarl",""
"Poochyena","Tackle",""
